Name,Bio,Niche,Audience Size,Location
Ananya Sharma,Fashionista sharing trendy outfits and sustainable style tips.,Fashion,150000,Mumbai
Rohit Verma,Tech reviewer demystifying gadgets and AI for everyday users.,Technology,80000,Bengaluru
Priya Nair,Home cook sharing South Indian recipes and meal plans.,Food & Cooking,120000,Chennai
Vikram Singh,Fitness coach promoting strength training and yoga.,Fitness,95000,Delhi
Neha Patel,Travel vlogger exploring India’s hidden destinations.,Travel,200000,Jaipur
Arjun Mehra,Comedy creator making relatable skits about urban life.,Comedy,300000,Pune
Sana Khan,Beauty guru focusing on affordable makeup and skincare.,Beauty,180000,Hyderabad
Kiran Desai,Parenting blogger offering tips for working moms.,Parenting,60000,Ahmedabad
Rahul Bose,Personal finance expert teaching budgeting and crypto.,Finance,110000,Kolkata
Meera Iyer,Book reviewer diving into Indian literature and thrillers.,Books,45000,Coimbatore
Amitabh Roy,Musician sharing tabla tutorials and fusion music.,Music,70000,Lucknow
Divya Menon,Lifestyle creator curating minimalist home decor ideas.,Home Decor,85000,Goa
Siddhant Jain,Entrepreneur giving startup advice and productivity hacks.,Business,130000,Gurgaon
Riya Malhotra,Artist teaching digital illustration for beginners.,Art,55000,Chandigarh
Manish Thakur,Gaming streamer playing PUBG and indie games.,Gaming,250000,Indore
Tara Bose,Sustainability advocate promoting eco-friendly products.,Sustainability,40000,Dehradun
Kunal Shah,History nerd making bite-sized videos on Indian heritage.,History,30000,Varanasi
Shalini Rao,Dance choreographer sharing Bollywood and classical moves.,Dance,90000,Mysore
Aditya Pillai,Science communicator explaining physics with humor.,Science,65000,Bhopal
Zoya Mirza,Pet lover sharing dog training tips and pet care.,Pets,50000,Guwahati
Nikhil Arora,Foodie exploring street food across North India.,Food & Cooking,140000,Amritsar
Pooja Sethi,Fashion designer showcasing handloom sarees.,Fashion,100000,Surat
Rakesh Yadav,Fitness trainer focusing on calisthenics for beginners.,Fitness,75000,Nagpur
Anita Kumari,Travel photographer capturing rural India’s beauty.,Travel,95000,Patna
Sameer Khan,Techie reviewing budget smartphones and apps.,Technology,110000,Noida
Lata Gupta,Craft creator teaching DIY home projects.,DIY & Crafts,35000,Kanpur
Vivek Nair,Wellness coach promoting meditation and mental health.,Wellness,60000,Thiruvananthapuram
Sneha Dubey,Comedy creator poking fun at corporate life.,Comedy,200000,Bengaluru
Ishan Kapoor,Car enthusiast reviewing bikes and SUVs.,Automotive,85000,Delhi
Rekha Sharma,Grandma sharing traditional Gujarati recipes.,Food & Cooking,70000,Rajkot
Omkar Patil,Street photographer documenting Mumbai’s chaos.,Photography,45000,Mumbai
Tanya Reddy,Skincare expert debunking beauty myths.,Beauty,130000,Hyderabad
Gaurav Mehra,Stock market educator for young investors.,Finance,90000,Pune
Shruti Bansal,Fashion blogger styling budget-friendly looks.,Fashion,160000,Lucknow
Naveen Kumar,Travel vlogger biking across the Himalayas.,Travel,120000,Leh
Ayesha Farooq,Mom influencer sharing toddler activities.,Parenting,50000,Kolkata
Rohan Das,Gamer streaming Free Fire and esports tips.,Gaming,180000,Guwahati
Meenal Joshi,Eco-warrior teaching zero-waste hacks.,Sustainability,40000,Jaipur
Suresh Menon,History buff narrating forgotten Indian tales.,History,35000,Chennai
Kavya Nair,Dancer blending Kathak with modern beats.,Dance,65000,Delhi
Ankur Tyagi,Physics teacher making science fun for kids.,Science,55000,Gurgaon
Farhan Qureshi,Pet vlogger reviewing pet gadgets.,Pets,45000,Mumbai
Nidhi Sharma,Food critic exploring Delhi’s dessert scene.,Food & Cooking,100000,Delhi
Preeti Malhotra,Fashionista promoting plus-size clothing.,Fashion,85000,Bengaluru
Akash Yadav,Gym trainer sharing HIIT workouts.,Fitness,70000,Chandigarh
Ritu Sengupta,Travel blogger focusing on spiritual sites.,Travel,90000,Varanasi
Sanjay Rao,Tech geek coding Python tutorials.,Technology,60000,Hyderabad
Lakshmi Iyer,DIY queen making recycled crafts.,DIY & Crafts,40000,Coimbatore
Arvind Pillai,Yoga instructor teaching stress-relief poses.,Wellness,50000,Goa
Deepika Rawat,Comedy skit maker on small-town life.,Comedy,110000,Dehradun
